DATA SET,DATE,player,pos,OWN TEAM,OPP TEAM,V,MIN,fg.,FGA,3P,3PA,ft.,FTA,OR,DR,g,ast,PF,ST,tov,BL,pts
2013-2014 Regular Season,10/29/2013,Jason Maxiell,PF,Orlando,Indiana,R,26.3,0,5,0,0,0,0,1,4,5,0,2,1,2,2,0
2013-2014 Regular Season,10/29/2013,Maurice Harkless,SF,Orlando,Indiana,R,23.5,6,13,2,2,0,1,1,0,1,0,4,1,0,0,14
2013-2014 Regular Season,10/29/2013,Nikola Vucevic,C,Orlando,Indiana,R,30.7,4,11,0,0,0,0,5,5,10,3,4,2,5,1,8
2013-2014 Regular Season,10/29/2013,Arron Afflalo,SG,Orlando,Indiana,R,33.0,3,14,1,5,2,3,1,2,3,1,1,0,1,0,9
2013-2014 Regular Season,10/29/2013,Jameer Nelson,PG,Orlando,Indiana,R,30.6,4,13,3,7,1,1,1,4,5,7,1,2,2,0,12
2013-2014 Regular Season,10/29/2013,Victor Oladipo,PG,Orlando,Indiana,R,22.6,4,11,1,2,3,5,1,2,3,2,2,1,3,0,12
2013-2014 Regular Season,10/29/2013,Andrew Nicholson,PF,Orlando,Indiana,R,19.3,8,10,2,2,0,0,1,3,4,0,4,1,1,0,18
2013-2014 Regular Season,10/29/2013,E'Twaun Moore,SG,Orlando,Indiana,R,25.8,3,6,0,1,0,0,1,0,1,1,2,2,2,0,6
2013-2014 Regular Season,10/29/2013,Kyle O'Quinn,C,Orlando,Indiana,R,14.4,3,7,0,0,0,0,0,4,4,0,2,0,1,3,6
2013-2014 Regular Season,10/29/2013,Ronnie Price,SG,Orlando,Indiana,R,8.6,1,2,0,0,0,0,0,1,1,3,2,0,0,0,2
2013-2014 Regular Season,10/29/2013,Solomon Jones,PF,Orlando,Indiana,R,5.4,0,1,0,0,0,0,1,1,2,0,2,0,0,0,0
2013-2014 Regular Season,10/29/2013,Paul George,SF,Indiana,Orlando,H,36.1,8,16,3,6,5,7,1,5,6,5,0,1,4,3,24
2013-2014 Regular Season,10/29/2013,David West,PF,Indiana,Orlando,H,30.7,4,11,0,0,5,5,0,5,5,3,2,2,5,5,13
2013-2014 Regular Season,10/29/2013,Roy Hibbert,C,Indiana,Orlando,H,26.9,3,6,0,0,2,4,6,10,16,0,0,1,3,7,8
2013-2014 Regular Season,10/29/2013,Lance Stephenson,SG,Indiana,Orlando,H,35.6,8,12,2,3,1,2,2,5,7,5,2,0,1,1,19
2013-2014 Regular Season,10/29/2013,George Hill,PG,Indiana,Orlando,H,29.1,2,8,0,2,3,4,0,2,2,0,0,0,1,0,7
2013-2014 Regular Season,10/29/2013,Orlando Johnson,SG,Indiana,Orlando,H,15.2,3,4,1,2,2,2,0,1,1,0,1,0,1,0,9
2013-2014 Regular Season,10/29/2013,Luis Scola,PF,Indiana,Orlando,H,20.7,4,7,0,0,0,0,0,1,1,1,2,0,1,0,8
2013-2014 Regular Season,10/29/2013,CJ Watson,PG,Indiana,Orlando,H,19.9,2,5,1,4,0,2,0,2,2,3,0,0,1,0,5
2013-2014 Regular Season,10/29/2013,Solomon Hill,SF,Indiana,Orlando,H,8.1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
2013-2014 Regular Season,10/29/2013,Ian Mahinmi,C,Indiana,Orlando,H,16.7,0,1,0,0,4,6,1,2,3,0,5,0,2,2,4
2013-2014 Regular Season,10/29/2013,Rasual Butler,SG,Indiana,Orlando,H,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-2014 Regular Season,10/29/2013,Luol Deng,SF,Chicago,Miami,R,29.5,2,8,0,5,0,0,1,4,5,4,4,2,3,0,4
2013-2014 Regular Season,10/29/2013,Carlos Boozer,PF,Chicago,Miami,R,32.4,13,18,0,0,5,5,3,4,7,2,4,1,2,1,31
2013-2014 Regular Season,10/29/2013,Joakim Noah,C,Chicago,Miami,R,20.2,1,4,0,0,0,2,2,9,11,2,2,2,2,2,2
2013-2014 Regular Season,10/29/2013,Jimmy Butler,SG,Chicago,Miami,R,29.9,6,12,2,4,6,7,0,3,3,3,4,5,2,1,20
2013-2014 Regular Season,10/29/2013,Derrick Rose,PG,Chicago,Miami,R,34.4,4,15,1,7,3,4,0,1,1,4,2,0,5,0,12
2013-2014 Regular Season,10/29/2013,Mike Dunleavy,SF,Chicago,Miami,R,22.9,3,9,2,4,2,2,0,3,3,1,1,0,1,0,10
2013-2014 Regular Season,10/29/2013,Taj Gibson,PF,Chicago,Miami,R,29.3,4,8,0,0,2,3,4,4,8,3,1,0,0,0,10
2013-2014 Regular Season,10/29/2013,Kirk Hinrich,PG,Chicago,Miami,R,29.5,2,6,2,4,0,0,0,1,1,3,6,0,2,0,6
2013-2014 Regular Season,10/29/2013,Nazr Mohammed,C,Chicago,Miami,R,5.3,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0
2013-2014 Regular Season,10/29/2013,Tony Snell,SG,Chicago,Miami,R,6.7,0,3,0,2,0,0,0,0,0,0,2,1,1,0,0
2013-2014 Regular Season,10/29/2013,LeBron James,PF,Miami,Chicago,H,38.0,5,11,0,1,7,9,0,6,6,8,0,1,2,0,17
2013-2014 Regular Season,10/29/2013,Udonis Haslem,PF,Miami,Chicago,H,21.5,2,4,0,0,2,2,1,2,3,0,3,0,3,0,6
2013-2014 Regular Season,10/29/2013,Chris Bosh,C,Miami,Chicago,H,31.4,6,11,1,2,3,4,1,5,6,0,3,0,1,3,16
2013-2014 Regular Season,10/29/2013,Dwyane Wade,SG,Miami,Chicago,H,36.1,5,13,1,1,2,5,0,4,4,3,4,1,3,1,13
2013-2014 Regular Season,10/29/2013,Mario Chalmers,PG,Miami,Chicago,H,26.8,3,8,1,3,6,7,2,1,3,4,2,5,3,0,13
2013-2014 Regular Season,10/29/2013,Ray Allen,SG,Miami,Chicago,H,26.3,3,7,3,6,2,2,0,1,1,7,4,0,3,1,11
2013-2014 Regular Season,10/29/2013,Shane Battier,SF,Miami,Chicago,H,22.2,5,6,4,4,0,0,0,2,2,1,3,0,0,0,14
2013-2014 Regular Season,10/29/2013,Norris Cole,PG,Miami,Chicago,H,21.2,5,7,1,3,0,0,0,7,7,3,0,1,3,0,11
2013-2014 Regular Season,10/29/2013,Chris Andersen,C,Miami,Chicago,H,16.6,3,5,0,0,0,0,1,7,8,0,2,2,0,2,6
2013-2014 Regular Season,10/29/2013,Jared Dudley,SF,LA Clippers,LA Lakers,R,22.7,2,6,1,4,0,0,0,3,3,2,4,0,1,0,5
2013-2014 Regular Season,10/29/2013,Blake Griffin,PF,LA Clippers,LA Lakers,R,40.2,8,15,0,0,3,10,2,5,7,3,1,1,4,0,19
2013-2014 Regular Season,10/29/2013,DeAndre Jordan,C,LA Clippers,LA Lakers,R,35.5,8,10,0,0,1,2,4,7,11,1,5,3,1,3,17
2013-2014 Regular Season,10/29/2013,JJ Redick,PG,LA Clippers,LA Lakers,R,33.8,5,12,2,5,1,1,1,1,2,3,0,0,1,0,13
2013-2014 Regular Season,10/29/2013,Chris Paul,PG,LA Clippers,LA Lakers,R,36.0,5,13,0,2,5,5,0,6,6,11,4,5,1,0,15
2013-2014 Regular Season,10/29/2013,Matt Barnes,SF,LA Clippers,LA Lakers,R,28.5,3,6,1,3,1,1,2,4,6,3,4,2,3,0,8
2013-2014 Regular Season,10/29/2013,Jamal Crawford,SG,LA Clippers,LA Lakers,R,25.9,5,13,3,6,2,2,1,2,3,3,0,0,3,0,15
2013-2014 Regular Season,10/29/2013,Darren Collison,PG,LA Clippers,LA Lakers,R,12.5,4,5,1,1,0,0,0,1,1,1,2,0,2,0,9
