YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
1999,actor,1/11/1999,Acting,Michael J. Fox
1999,Comedian,1/12/1999,Comedy,Sandra Bernhard
1999,television actress,1/13/1999,Acting,Tracey Ullman
1999,film actress,1/14/1999,Acting,Gillian Anderson
1999,actor,1/18/1999,Acting,David Alan Grier
1999,actor,1/19/1999,Acting,William Baldwin
1999,Singer-lyricist,1/20/1999,Musician,Michael Stipe
1999,model,1/21/1999,Media,Carmen Electra
1999,actor,1/25/1999,Acting,Matthew Lillard
1999,stand-up comedian,1/26/1999,Comedy,David Cross
1999,actress,1/27/1999,Acting,Yasmine Bleeth
1999,actor,1/28/1999,Acting,D. L. Hughley
1999,television actress,10/18/1999,Acting,Rebecca Gayheart
1999,Comedian,10/19/1999,Comedy,Steven Wright
1999,actress,10/20/1999,Acting,Amy Brenneman
1999,actress,10/21/1999,Acting,Melissa Gilbert
1999,actress,10/25/1999,Acting,Cathy Moriarty
1999,comedian,10/26/1999,Comedy,Louie Anderson
1999,actress,10/27/1999,Acting,Sarah Michelle Gellar
1999,Singer-songwriter,10/28/1999,Musician,Melanie C
1999,actor,10/4/1999,Acting,Greg Proops
1999,television personality,10/5/1999,Media,Maury Povich
1999,actress,10/6/1999,Acting,Brooke Shields
1999,Comic,10/7/1999,Comedy,Molly Shannon
1999,actor,11/1/1999,Acting,Chris O'Donnell
1999,actress,11/15/1999,Acting,Christina Ricci
1999,Singer-songwriter,11/16/1999,Musician,Tori Amos
1999,actress,11/17/1999,Acting,Yasmine Bleeth
1999,comedian,11/18/1999,Comedy,Bill Maher
1999,actress,11/2/1999,Acting,Jennifer Love Hewitt
1999,rock band,11/29/1999,Musician,Goo Goo Dolls
1999,musician,11/3/1999,Musician,Dave Grohl
1999,Film actor,11/30/1999,Acting,Stephen Rea
1999,Model,11/4/1999,Media,Roshumba Williams
1999,television actress,11/8/1999,Acting,Kellie Martin
1999,actress,11/9/1999,Acting,Kathy Griffin
1999,actress,12/1/1999,Acting,Laura San Giacomo
1999,journalist,12/13/1999,Media,Joan Lunden
1999,actress,12/14/1999,Acting,Shannen Doherty
1999,NA,12/15/1999,NA,Greatest Millennium Special
1999,comedian,12/16/1999,Comedy,George Carlin
1999,actor,12/2/1999,Acting,Michael Boatman
1999,actor,12/20/1999,Acting,David Boreanaz
1999,singer-songwriter,12/21/1999,Musician,Jewel
1999,actor,12/6/1999,Acting,Paul Rudd
1999,us senator,12/7/1999,Politician,"Senator Bob Dole, part 1"
1999,us senator,12/8/1999,Politician,"Senator Bob Dole, part 2"
1999,actor,12/9/1999,Acting,Rob Schneider
1999,comedian,2/1/1999,Comedy,George Carlin
1999,actress,2/10/1999,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,actress,2/10/1999,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,actress,2/10/1999,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
1999,film actor,2/11/1999,Acting,Daniel Stern
1999,actress,2/16/1999,Acting,Melina Kanakaredes
1999,comedian,2/17/1999,Comedy,Ed McMahon
1999,actor,2/18/1999,Acting,Mike Judge
1999,actor,2/2/1999,Acting,Dave Foley
1999,television actress,2/3/1999,Acting,Kellie Martin
1999,actor,2/4/1999,Acting,Jerry O'Connell
1999,actress,2/8/1999,Acting,Melissa Gilbert
1999,actor,2/9/1999,Acting,Brendan Fraser
1999,pianist,3/1/1999,Musician,John Tesh
1999,Vocalist,3/10/1999,Musician,Sammy Hagar
1999,rock band,3/11/1999,Musician,"Hootie & the Blowfish, Billy Crystal"
1999,actor,3/11/1999,Acting,"Hootie & the Blowfish, Billy Crystal"
1999,Film actor,3/15/1999,Acting,Peter Krause
1999,musician,3/16/1999,Musician,Chris Isaak
1999,writer,3/17/1999,Media,"Frank DeCaro's Oscar Special, John Larroquette"
1999,actor,3/17/1999,Acting,"Frank DeCaro's Oscar Special, John Larroquette"
1999,actor,3/18/1999,Acting,Joseph Gordon-Levitt
1999,actor,3/2/1999,Acting,Eric McCormack
1999,actress,3/22/1999,Acting,Jennifer Grey
1999,Stand-up comedian,3/23/1999,Comedy,Norm Macdonald
1999,actress,3/24/1999,Acting,Sandra Bullock
1999,actress,3/25/1999,Acting,Janine Turner
1999,Film director,3/29/1999,Media,Ron Howard
1999,actress,3/3/1999,Acting,Jeri Ryan
1999,actor,3/30/1999,Acting,Omar Epps
1999,actress,3/31/1999,Acting,Diane Lane
1999,actor,3/4/1999,Acting,Ryan Phillippe
1999,actor,3/8/1999,Acting,Ian McKellen
1999,actor,3/9/1999,Acting,Jon Voight
1999,actor,4/1/1999,Acting,Stephen Baldwin
